Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,fendi-frameless-sunglasses,"Fendi 2025 Frameless Sunglasses",,"$54 Fendi 2025 New Style, Absolutely Gorgeous F Diamond, Metal Square Frameless Sunglasses, Sun Protection, Slimming Effect, Anti-UV, Unisex. FE4082US",published,https://picsum.photos/seed/fendi-54/800/800,,,,,,,,,,,,TRUE,,,Fendi 2025 Frameless Sunglasses - One Size,FENDI-FRAMELESS-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,54.00,Size,One Size,https://picsum.photos/seed/fendi-54-1/800/800,https://picsum.photos/seed/fendi-54-2/800/800
,cartier-anti-blue-glasses,Cartier Anti-Blue Light Glasses,,$55 Cartier 2024 New Frameless Fashion Anti-Blue Light High-Definition Ultra-light Stylish Young Portable Glasses,published,https://picsum.photos/seed/cartier-55/800/800,,,,,,,,,,,,TRUE,,,Cartier Anti-Blue Light Glasses - One Size,CARTIER-ANTI-BLUE-GLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,55.00,Size,One Size,https://picsum.photos/seed/cartier-55-1/800/800,https://picsum.photos/seed/cartier-55-2/800/800
,ferragamo-fd8131-sunglasses,Salvatore Ferragamo FD8131 Sunglasses,,$58 Salvatore Ferragamo MODEL FD8131 SIZE 53-22-145,published,https://picsum.photos/seed/ferragamo-58/800/800,,,,,,,,,,,,TRUE,,,Salvatore Ferragamo FD8131 Sunglasses - One Size,FERRAGAMO-FD8131-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,58.00,Size,One Size,https://picsum.photos/seed/ferragamo-58-1/800/800,https://picsum.photos/seed/ferragamo-58-2/800/800
,lv-classic-sunglasses,LV Classic Business Sunglasses,,"$60 LV classic business men's sunglasses, polarized metal full-frame sunshade, trendy new outdoor sport shades",published,https://picsum.photos/seed/lv-60/800/800,,,,,,,,,,,,TRUE,,,LV Classic Business Sunglasses - One Size,LV-CLASSIC-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,60.00,Size,One Size,https://picsum.photos/seed/lv-60-1/800/800,https://picsum.photos/seed/lv-60-2/800/800
,ferragamo-sf1092-sunglasses,Salvatore Ferragamo SF1092SLB Sunglasses,,$69 Salvatore Ferragamo MODEL SF1092SLB SIZE 52-19-145,published,https://picsum.photos/seed/ferragamo-69/800/800,,,,,,,,,,,,TRUE,,,Salvatore Ferragamo SF1092SLB Sunglasses - One Size,FERRAGAMO-SF1092-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,69.00,Size,One Size,https://picsum.photos/seed/ferragamo-69-1/800/800,https://picsum.photos/seed/ferragamo-69-2/800/800
,gucci-retro-horsebit-bag,1955 Gucci Retro Horsebit Bag,,$117 The beautiful 1955 Gucci Retro Horsebit Bag. Retail counter matching high version. Classic Horsebit buckle + Monogram + piping design. Size 25 x 18 cm,published,https://picsum.photos/seed/gucci-117/800/800,,,,,,,,,,,,TRUE,,,1955 Gucci Retro Horsebit Bag - One Size,GUCCI-RETRO-HORSEBIT-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,117.00,Size,One Size,https://picsum.photos/seed/gucci-117-1/800/800,https://picsum.photos/seed/gucci-117-2/800/800
,louboutin-red-sole-heels,Christian Louboutin CL Red Sole Shoes,,$119 Christian Louboutin Red Sole Shoes Early Spring Collection. A must-have high heel for every goddess. Heel Height 10cm. Sizes 35-39,published,https://picsum.photos/seed/louboutin-119/800/800,,,,,,,,,,,,TRUE,,,Christian Louboutin CL Red Sole Shoes - One Size,LOUBOUTIN-RED-SOLE-HEELS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,119.00,Size,One Size,https://picsum.photos/seed/louboutin-119-1/800/800,https://picsum.photos/seed/louboutin-119-2/800/800
,dior-lady-dlite-bag,DIOR Lady D-Lite Embroidered Bag,,"$159 DIOR Lady D-Lite Embroidered Bag with cross-body strap. Three-dimensional embroidery with over 100,000 stitches. Italian waterproof environmentally friendly canvas. Size 24cm",published,https://picsum.photos/seed/dior-159/800/800,,,,,,,,,,,,TRUE,,,DIOR Lady D-Lite Embroidered Bag - One Size,DIOR-LADY-DLITE-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,159.00,Size,One Size,https://picsum.photos/seed/dior-159-1/800/800,https://picsum.photos/seed/dior-159-2/800/800
,gucci-mens-backpack,GUCCI Mens New Backpack,,$107 GUCCI Men's 2025 early spring collection backpack. Double G logo embossed on cowhide with grained texture. Multiple layered pockets plus D-ring for accessories,published,https://picsum.photos/seed/gucci-107/800/800,,,,,,,,,,,,TRUE,,,GUCCI Mens New Backpack - One Size,GUCCI-MENS-BACKPACK-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,107.00,Size,One Size,https://picsum.photos/seed/gucci-107-1/800/800,https://picsum.photos/seed/gucci-107-2/800/800
,gucci-miami-slippers,Gucci Miami 2022 Slippers,,$97 Gucci Miami 2022 Summer Macaron Color Thick-soled Slippers. Comfortable and versatile. TU material outsole. Shoe height 4-5CM. Sizes 35-40,published,https://picsum.photos/seed/gucci-97/800/800,,,,,,,,,,,,TRUE,,,Gucci Miami 2022 Slippers - One Size,GUCCI-MIAMI-SLIPPERS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,97.00,Size,One Size,https://picsum.photos/seed/gucci-97-1/800/800,https://picsum.photos/seed/gucci-97-2/800/800
