Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,60-lv-classic-sunglasses,LV Classic Business Sunglasses,,"$60 LV classic business men's sunglasses, polarized metal full-frame sunshade, trendy new outdoor sport shades",published,,,,,,,,,,,,,TRUE,,,LV Classic Business Sunglasses - One Size,LV-CLASSIC-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,60.00,Size,One Size,,
,1955-gucci-retro-horsebit-bag,1955 Gucci Retro Horsebit Bag,,$117 Full set packaging The beautiful 1955 Gucci Retro Horsebit Bag It really looks great! Retail counter matching high version The classic Horsebit buckle + Monogram + piping design I truly love it! Size: 25 x 18 cm,published,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874713552217.jpg,,,,,,,,,,,,TRUE,,,1955 Gucci Retro Horsebit Bag - One Size,1955-GUCCI-RETRO-HORSEBIT-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,117.00,Size,One Size,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874713552217.jpg,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874826824809.jpg
,dior-lady-d-lite-bag,DIOR Lady D-Lite Embroidered Bag,,"$159 Replicated Version, Original Fabric DIOR Lady D-Lite Embroidered Bag with cross-body strap. Dior's most representative handbag, features Cannage embroidery, full three-dimensional embroidery with over 100,000 stitches. Italian imported waterproof environmentally friendly canvas. Bag size: 24cm",published,http://localhost:8000/images/imports/DIOR%20%20Lady%20D-Lite%20Embroidered%20Bag/13409875382509391.jpg,,,,,,,,,,,,TRUE,,,DIOR Lady D-Lite Embroidered Bag - One Size,DIOR-LADY-D-LITE-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,159.00,Size,One Size,http://localhost:8000/images/imports/DIOR%20%20Lady%20D-Lite%20Embroidered%20Bag/13409875382509391.jpg,http://localhost:8000/images/imports/DIOR%20%20Lady%20D-Lite%20Embroidered%20Bag/13409875389280533.jpg
,gucci-miami-2022-slippers,Gucci Miami 2022 Slippers,,"$97 Gucci Miami 2022 Summer Macaron Color Thick-soled Slippers. Comfortable and versatile, the thick sole elongates leg lines. TU material outsole and upper, shoe height 4-5CM. Sizes 35-40",published,,,,,,,,,,,,,TRUE,,,Gucci Miami 2022 Slippers - One Size,GUCCI-MIAMI-2022-SLIPPERS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,97.00,Size,One Size,,
,gucci-mens-backpack,GUCCI Mens New Backpack,,"$107 GUCCI Men's New Backpack. The new men's 2025 early spring collection backpack, featuring double G logo embossed on cowhide with brand new grained texture. Multiple layered pockets for storage, plus D-ring for attaching accessories.",published,,,,,,,,,,,,,TRUE,,,GUCCI Mens New Backpack - One Size,GUCCI-MENS-BACKPACK-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,107.00,Size,One Size,,
,lv-montsouris-bb-backpack,LV Montsouris BB Backpack,,"$130 LV Backpack Multi-purpose Bag. The Montsouris BB Backpack, introduced in Winter 2020. Crafted from classic Monogram canvas and calfskin leather. Top handle and removable adjustable leather shoulder straps.",published,,,,,,,,,,,,,TRUE,,,LV Montsouris BB Backpack - One Size,LV-MONTSOURIS-BB-BACKPACK-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,130.00,Size,One Size,,
,lv-pillow-bag,LV Pillow Bag,,LV Pillow Bag - Stylish and comfortable designer bag,published,http://localhost:8000/images/imports/LV%20Pillow%20Bag/13409875881950406.jpg,,,,,,,,,,,,TRUE,,,LV Pillow Bag - One Size,LV-PILLOW-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,99.00,Size,One Size,http://localhost:8000/images/imports/LV%20Pillow%20Bag/13409875881950406.jpg,http://localhost:8000/images/imports/LV%20Pillow%20Bag/13409875886032547.jpg
,miumiu-mary-janes,MiuMiu 2022SS Mary Janes,,"$118 MiuMiu 2022/SS High version Miu Miu Mary Janes. Patent leather patchwork, lambskin lining, genuine leather sole. Size 35-39",published,,,,,,,,,,,,,TRUE,,,MiuMiu 2022SS Mary Janes - One Size,MIUMIU-MARY-JANES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,118.00,Size,One Size,,
,adidas-adizero-goukana,Adidas Adizero Goukana Running Shoes,,$57 Company Level Adidas Adizero Goukana. Versatile Comfortable Wear-Resistant Breathable Low-Top Casual Sports Running Shoes. Sizes: 36-45 with half sizes,published,,,,,,,,,,,,,TRUE,,,Adidas Adizero Goukana Running Shoes - One Size,ADIDAS-ADIZERO-GOUKANA-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,57.00,Size,One Size,,
,nike-air-max-dn,Nike Air Max Dn Running Shoes,,$52 Nike Air Max Dn Comfortable Shock-Absorbing Small Air Cushion Wear-Resistant Non-Slip Low-Top Lifestyle Sports Casual Running Shoes. Unisex Ivory White HM5653-440. Size: 36-46,published,,,,,,,,,,,,,TRUE,,,Nike Air Max Dn Running Shoes - One Size,NIKE-AIR-MAX-DN-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,52.00,Size,One Size,,
