Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url,Product Image 3 Url,Product Image 4 Url,Product Image 5 Url
,fendi-frameless-sunglasses,Fendi 2025 Frameless Sunglasses,,"$54 Fendi 2025 New Style, Absolutely Gorgeous F Diamond, Metal Square Frameless Sunglasses, Sun Protection, Slimming Effect, Anti-UV, Unisex. FE4082US",published,http://localhost:8000/images/imports/%2454%20Fendi%202025%20New%20Style%2C%20Absolutely%20Gorgeous%20F%20Diamond%2C%20Metal%20Square%20Frameless%20Sunglasses%2C%20Sun%20Protection%2C%20Slimming%20Effect%2C%20Anti-UV%2C%20Unisex.%20FE4082US/13409872624823156.jpg,,,,,,,,,,,,TRUE,,,Fendi 2025 Frameless Sunglasses - One Size,FENDI-FRAMELESS-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,54.00,Size,One Size,http://localhost:8000/images/imports/%2454%20Fendi%202025%20New%20Style%2C%20Absolutely%20Gorgeous%20F%20Diamond%2C%20Metal%20Square%20Frameless%20Sunglasses%2C%20Sun%20Protection%2C%20Slimming%20Effect%2C%20Anti-UV%2C%20Unisex.%20FE4082US/13409872624823156.jpg,http://localhost:8000/images/imports/%2454%20Fendi%202025%20New%20Style%2C%20Absolutely%20Gorgeous%20F%20Diamond%2C%20Metal%20Square%20Frameless%20Sunglasses%2C%20Sun%20Protection%2C%20Slimming%20Effect%2C%20Anti-UV%2C%20Unisex.%20FE4082US/13409872652915619.jpg,http://localhost:8000/images/imports/%2454%20Fendi%202025%20New%20Style%2C%20Absolutely%20Gorgeous%20F%20Diamond%2C%20Metal%20Square%20Frameless%20Sunglasses%2C%20Sun%20Protection%2C%20Slimming%20Effect%2C%20Anti-UV%2C%20Unisex.%20FE4082US/13409872655331840.jpg,http://localhost:8000/images/imports/%2454%20Fendi%202025%20New%20Style%2C%20Absolutely%20Gorgeous%20F%20Diamond%2C%20Metal%20Square%20Frameless%20Sunglasses%2C%20Sun%20Protection%2C%20Slimming%20Effect%2C%20Anti-UV%2C%20Unisex.%20FE4082US/13409872657357161.jpg,http://localhost:8000/images/imports/%2454%20Fendi%202025%20New%20Style%2C%20Absolutely%20Gorgeous%20F%20Diamond%2C%20Metal%20Square%20Frameless%20Sunglasses%2C%20Sun%20Protection%2C%20Slimming%20Effect%2C%20Anti-UV%2C%20Unisex.%20FE4082US/13409872660380696.jpg
,cartier-anti-blue-glasses,Cartier Anti-Blue Light Glasses,,$55 Cartier 2024 New Frameless Fashion Anti-Blue Light High-Definition Ultra-light Stylish Young Portable Glasses,published,http://localhost:8000/images/imports/%2455%20Cartier%202024%20New%20Frameless%20Men's%20and%20Women's%20Fashion%20Anti-Blue%20Light%20High-Definition%20Ultra-light%20Stylish%20Young%20Portable%20Glasses/13409872147827091.jpg,,,,,,,,,,,,TRUE,,,Cartier Anti-Blue Light Glasses - One Size,CARTIER-ANTI-BLUE-GLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,55.00,Size,One Size,http://localhost:8000/images/imports/%2455%20Cartier%202024%20New%20Frameless%20Men's%20and%20Women's%20Fashion%20Anti-Blue%20Light%20High-Definition%20Ultra-light%20Stylish%20Young%20Portable%20Glasses/13409872147827091.jpg,http://localhost:8000/images/imports/%2455%20Cartier%202024%20New%20Frameless%20Men's%20and%20Women's%20Fashion%20Anti-Blue%20Light%20High-Definition%20Ultra-light%20Stylish%20Young%20Portable%20Glasses/13409872181385921.jpg,http://localhost:8000/images/imports/%2455%20Cartier%202024%20New%20Frameless%20Men's%20and%20Women's%20Fashion%20Anti-Blue%20Light%20High-Definition%20Ultra-light%20Stylish%20Young%20Portable%20Glasses/13409872183676483.jpg,http://localhost:8000/images/imports/%2455%20Cartier%202024%20New%20Frameless%20Men's%20and%20Women's%20Fashion%20Anti-Blue%20Light%20High-Definition%20Ultra-light%20Stylish%20Young%20Portable%20Glasses/13409872185652341.jpg,http://localhost:8000/images/imports/%2455%20Cartier%202024%20New%20Frameless%20Men's%20and%20Women's%20Fashion%20Anti-Blue%20Light%20High-Definition%20Ultra-light%20Stylish%20Young%20Portable%20Glasses/13409872187655796.jpg
,ferragamo-fd8131-sunglasses,Salvatore Ferragamo FD8131 Sunglasses,,$58 Salvatore Ferragamo MODEL FD8131 SIZE 53-22-145,published,http://localhost:8000/images/imports/%2458%20Salvatore%20Ferragamo%20MODEL%EF%BC%9AFD8131%20SIZE%EF%BC%9A53%E5%8F%A322-145/13409871729521324.jpg,,,,,,,,,,,,TRUE,,,Salvatore Ferragamo FD8131 Sunglasses - One Size,FERRAGAMO-FD8131-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,58.00,Size,One Size,http://localhost:8000/images/imports/%2458%20Salvatore%20Ferragamo%20MODEL%EF%BC%9AFD8131%20SIZE%EF%BC%9A53%E5%8F%A322-145/13409871729521324.jpg,http://localhost:8000/images/imports/%2458%20Salvatore%20Ferragamo%20MODEL%EF%BC%9AFD8131%20SIZE%EF%BC%9A53%E5%8F%A322-145/13409871734744459.jpg,http://localhost:8000/images/imports/%2458%20Salvatore%20Ferragamo%20MODEL%EF%BC%9AFD8131%20SIZE%EF%BC%9A53%E5%8F%A322-145/13409871738445158.jpg,http://localhost:8000/images/imports/%2458%20Salvatore%20Ferragamo%20MODEL%EF%BC%9AFD8131%20SIZE%EF%BC%9A53%E5%8F%A322-145/13409871745477342.jpg,http://localhost:8000/images/imports/%2458%20Salvatore%20Ferragamo%20MODEL%EF%BC%9AFD8131%20SIZE%EF%BC%9A53%E5%8F%A322-145/13409871748368887.jpg
,lv-classic-sunglasses,LV Classic Business Sunglasses,,"$60 LV classic business men's sunglasses, polarized metal full-frame sunshade, trendy new outdoor sport shades",published,http://localhost:8000/images/imports/%2460%20LV%20classic%20business%20men's%20sunglasses%2C%20polarized%20metal%20full-frame%20sunshade%2C%20trendy%20new%20outdoor%20sport%20shades/13409871900523275.jpg,,,,,,,,,,,,TRUE,,,LV Classic Business Sunglasses - One Size,LV-CLASSIC-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,60.00,Size,One Size,http://localhost:8000/images/imports/%2460%20LV%20classic%20business%20men's%20sunglasses%2C%20polarized%20metal%20full-frame%20sunshade%2C%20trendy%20new%20outdoor%20sport%20shades/13409871900523275.jpg,http://localhost:8000/images/imports/%2460%20LV%20classic%20business%20men's%20sunglasses%2C%20polarized%20metal%20full-frame%20sunshade%2C%20trendy%20new%20outdoor%20sport%20shades/13409872006347349.jpg,http://localhost:8000/images/imports/%2460%20LV%20classic%20business%20men's%20sunglasses%2C%20polarized%20metal%20full-frame%20sunshade%2C%20trendy%20new%20outdoor%20sport%20shades/13409872011411977.jpg,http://localhost:8000/images/imports/%2460%20LV%20classic%20business%20men's%20sunglasses%2C%20polarized%20metal%20full-frame%20sunshade%2C%20trendy%20new%20outdoor%20sport%20shades/13409872014111537.jpg,http://localhost:8000/images/imports/%2460%20LV%20classic%20business%20men's%20sunglasses%2C%20polarized%20metal%20full-frame%20sunshade%2C%20trendy%20new%20outdoor%20sport%20shades/13409872021541191.jpg
,ferragamo-sf1092-sunglasses,Salvatore Ferragamo SF1092SLB Sunglasses,,$69 Salvatore Ferragamo MODEL SF1092SLB SIZE 52-19-145,published,http://localhost:8000/images/imports/%2469%20%E2%80%BCSalvatore%20Ferragamo%20MODEL%EF%BC%9ASF1092SLB%20SIZE%EF%BC%9A52%E5%8F%A319-145/13409871480712985.jpg,,,,,,,,,,,,TRUE,,,Salvatore Ferragamo SF1092SLB Sunglasses - One Size,FERRAGAMO-SF1092-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,69.00,Size,One Size,http://localhost:8000/images/imports/%2469%20%E2%80%BCSalvatore%20Ferragamo%20MODEL%EF%BC%9ASF1092SLB%20SIZE%EF%BC%9A52%E5%8F%A319-145/13409871480712985.jpg,http://localhost:8000/images/imports/%2469%20%E2%80%BCSalvatore%20Ferragamo%20MODEL%EF%BC%9ASF1092SLB%20SIZE%EF%BC%9A52%E5%8F%A319-145/13409871514399841.jpg,http://localhost:8000/images/imports/%2469%20%E2%80%BCSalvatore%20Ferragamo%20MODEL%EF%BC%9ASF1092SLB%20SIZE%EF%BC%9A52%E5%8F%A319-145/13409871518023131.jpg,http://localhost:8000/images/imports/%2469%20%E2%80%BCSalvatore%20Ferragamo%20MODEL%EF%BC%9ASF1092SLB%20SIZE%EF%BC%9A52%E5%8F%A319-145/13409871520939663.jpg,http://localhost:8000/images/imports/%2469%20%E2%80%BCSalvatore%20Ferragamo%20MODEL%EF%BC%9ASF1092SLB%20SIZE%EF%BC%9A52%E5%8F%A319-145/13409871523706804.jpg
,gucci-retro-horsebit-bag,1955 Gucci Retro Horsebit Bag,,$117 The beautiful 1955 Gucci Retro Horsebit Bag. Retail counter matching high version. Classic Horsebit buckle + Monogram + piping design. Size 25 x 18 cm,published,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874713552217.jpg,,,,,,,,,,,,TRUE,,,1955 Gucci Retro Horsebit Bag - One Size,GUCCI-RETRO-HORSEBIT-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,117.00,Size,One Size,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874713552217.jpg,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874826824809.jpg,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874829271168.jpg,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874834086350.jpg,http://localhost:8000/images/imports/1955%20Gucci%20Retro%20Horsebit%20Bag/13409874837246370.jpg
,louboutin-red-sole-heels,Christian Louboutin CL Red Sole Shoes,,$119 Christian Louboutin Red Sole Shoes Early Spring Collection. A must-have high heel for every goddess. Heel Height 10cm. Sizes 35-39,published,http://localhost:8000/images/imports/Christian%20Louboutin%20CL%20Red%20Sole%20Shoes%20Early%20Spring%20Collection/13409873110633015.jpg,,,,,,,,,,,,TRUE,,,Christian Louboutin CL Red Sole Shoes - One Size,LOUBOUTIN-RED-SOLE-HEELS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,119.00,Size,One Size,http://localhost:8000/images/imports/Christian%20Louboutin%20CL%20Red%20Sole%20Shoes%20Early%20Spring%20Collection/13409873110633015.jpg,http://localhost:8000/images/imports/Christian%20Louboutin%20CL%20Red%20Sole%20Shoes%20Early%20Spring%20Collection/13409873116069007.jpg,http://localhost:8000/images/imports/Christian%20Louboutin%20CL%20Red%20Sole%20Shoes%20Early%20Spring%20Collection/13409873118863026.jpg,http://localhost:8000/images/imports/Christian%20Louboutin%20CL%20Red%20Sole%20Shoes%20Early%20Spring%20Collection/13409873121533530.jpg,http://localhost:8000/images/imports/Christian%20Louboutin%20CL%20Red%20Sole%20Shoes%20Early%20Spring%20Collection/13409873124032331.jpg
,dior-lady-dlite-bag,DIOR Lady D-Lite Embroidered Bag,,"$159 DIOR Lady D-Lite Embroidered Bag with cross-body strap. Three-dimensional embroidery with over 100,000 stitches. Italian waterproof environmentally friendly canvas. Size 24cm",published,http://localhost:8000/images/imports/DIOR%20%20Lady%20D-Lite%20Embroidered%20Bag/13409875382509391.jpg,,,,,,,,,,,,TRUE,,,DIOR Lady D-Lite Embroidered Bag - One Size,DIOR-LADY-DLITE-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,159.00,Size,One Size,http://localhost:8000/images/imports/DIOR%20%20Lady%20D-Lite%20Embroidered%20Bag/13409875382509391.jpg,http://localhost:8000/images/imports/DIOR%20%20Lady%20D-Lite%20Embroidered%20Bag/13409875389280533.jpg,http://localhost:8000/images/imports/DIOR%20%20Lady%20D-Lite%20Embroidered%20Bag/13409875391336513.jpg,http://localhost:8000/images/imports/DIOR%20%20Lady%20D-Lite%20Embroidered%20Bag/13409875393146286.jpg,http://localhost:8000/images/imports/DIOR%20%20Lady%20D-Lite%20Embroidered%20Bag/13409875395504073.jpg
,gucci-mens-backpack,GUCCI Mens New Backpack,,$107 GUCCI Men's 2025 early spring collection backpack. Double G logo embossed on cowhide with grained texture. Multiple layered pockets plus D-ring for accessories,published,http://localhost:8000/images/imports/GUCCI%20Men's%20New%20Backpack/13409875065291713.jpg,,,,,,,,,,,,TRUE,,,GUCCI Mens New Backpack - One Size,GUCCI-MENS-BACKPACK-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,107.00,Size,One Size,http://localhost:8000/images/imports/GUCCI%20Men's%20New%20Backpack/13409875065291713.jpg,http://localhost:8000/images/imports/GUCCI%20Men's%20New%20Backpack/13409875075677265.jpg,http://localhost:8000/images/imports/GUCCI%20Men's%20New%20Backpack/13409875077739910.jpg,http://localhost:8000/images/imports/GUCCI%20Men's%20New%20Backpack/13409875080449089.jpg,http://localhost:8000/images/imports/GUCCI%20Men's%20New%20Backpack/13409875082389869.jpg
,gucci-miami-slippers,Gucci Miami 2022 Slippers,,$97 Gucci Miami 2022 Summer Macaron Color Thick-soled Slippers. Comfortable and versatile. TU material outsole. Shoe height 4-5CM. Sizes 35-40,published,http://localhost:8000/images/imports/Gucci%20Gucci%20%20Miami%202022/13409873708206692.jpg,,,,,,,,,,,,TRUE,,,Gucci Miami 2022 Slippers - One Size,GUCCI-MIAMI-SLIPPERS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,97.00,Size,One Size,http://localhost:8000/images/imports/Gucci%20Gucci%20%20Miami%202022/13409873708206692.jpg,http://localhost:8000/images/imports/Gucci%20Gucci%20%20Miami%202022/13409873713344573.jpg,http://localhost:8000/images/imports/Gucci%20Gucci%20%20Miami%202022/13409873715412008.jpg,http://localhost:8000/images/imports/Gucci%20Gucci%20%20Miami%202022/13409873717227326.jpg,http://localhost:8000/images/imports/Gucci%20Gucci%20%20Miami%202022/13409873719101619.jpg
